KU	d8:84:66:39:71:49	-63	2462
KU	d8:84:66:0a:e9:48	-65	2412
KU	d8:84:66:11:41:f9	-68	2437
KU	d8:84:66:11:43:29	-75	2412
KU	d8:84:66:11:31:e9	-80	2437
GUEST	d8:84:66:39:71:48	-40	2462
GUEST	d8:84:66:0a:e9:49	-65	2412
GUEST	d8:84:66:11:41:f8	-69	2437
GUEST	d8:84:66:11:43:28	-73	2412
GUEST	d8:84:66:11:31:e8	-81	2437
000000
KU	d8:84:66:39:71:49	-60	2462
KU	d8:84:66:39:6b:e9	-59	2437
GUEST	d8:84:66:39:71:48	-59	2462
GUEST	d8:84:66:39:6b:e8	-59	2437
000000
KU	d8:84:66:39:71:49	-57	2462
KU	d8:84:66:39:6b:e9	-54	2437
GUEST	d8:84:66:39:71:48	-57	2462
GUEST	d8:84:66:39:6b:e8	-54	2437
KU	d8:84:66:0a:e9:48	-68	2412
GUEST	d8:84:66:0a:e9:49	-69	2412
000000
KU	d8:84:66:39:71:49	-60	2462
KU	d8:84:66:39:6b:e9	-65	2437
GUEST	d8:84:66:39:71:48	-58	2462
GUEST	d8:84:66:39:6b:e8	-65	2437
KU	d8:84:66:0a:e9:48	-72	2412
GUEST	d8:84:66:0a:e9:49	-70	2412
000000
KU	d8:84:66:39:71:49	-62	2462
KU	d8:84:66:39:6b:e9	-65	2437
GUEST	d8:84:66:39:71:48	-56	2462
GUEST	d8:84:66:39:6b:e8	-64	2437
KU	d8:84:66:0a:e9:48	-64	2412
GUEST	d8:84:66:0a:e9:49	-63	2412
KU	20:b3:99:ea:1b:e9	-72	2462
GUEST	20:b3:99:ea:1b:e8	-76	2462
000000
KU	d8:84:66:39:71:49	-63	2462
KU	d8:84:66:39:6b:e9	-68	2437
GUEST	d8:84:66:39:71:48	-60	2462
GUEST	d8:84:66:39:6b:e8	-64	2437
KU	d8:84:66:0a:e9:48	-64	2412
GUEST	d8:84:66:0a:e9:49	-63	2412
KU	20:b3:99:ea:1b:e9	-75	2462
GUEST	20:b3:99:ea:1b:e8	-72	2462
000000
KU	d8:84:66:39:71:49	-62	2462
KU	d8:84:66:39:6b:e9	-70	2437
GUEST	d8:84:66:39:71:48	-61	2462
GUEST	d8:84:66:39:6b:e8	-71	2437
KU	d8:84:66:0a:e9:48	-60	2412
GUEST	d8:84:66:0a:e9:49	-61	2412
KU	20:b3:99:ea:1b:e9	-72	2462
GUEST	20:b3:99:ea:1b:e8	-71	2462
KU	d8:84:66:11:41:f9	-72	2437
KU	d8:84:66:11:43:29	-75	2412
GUEST	d8:84:66:11:41:f8	-72	2437
GUEST	d8:84:66:11:43:28	-78	2412
000000
KU	d8:84:66:39:71:49	-58	2462
KU	d8:84:66:39:6b:e9	-70	2437
GUEST	d8:84:66:39:71:48	-60	2462
GUEST	d8:84:66:39:6b:e8	-71	2437
KU	d8:84:66:0a:e9:48	-60	2412
GUEST	d8:84:66:0a:e9:49	-61	2412
KU	20:b3:99:ea:1b:e9	-75	2462
GUEST	20:b3:99:ea:1b:e8	-76	2462
KU	d8:84:66:11:41:f9	-69	2437
KU	d8:84:66:11:43:29	-73	2412
GUEST	d8:84:66:11:41:f8	-68	2437
GUEST	d8:84:66:11:43:28	-76	2412
000000
KU	d8:84:66:39:71:49	-58	2462
KU	d8:84:66:39:6b:e9	-70	2437
GUEST	d8:84:66:39:71:48	-59	2462
GUEST	d8:84:66:39:6b:e8	-71	2437
KU	d8:84:66:0a:e9:48	-73	2412
GUEST	d8:84:66:0a:e9:49	-61	2412
KU	20:b3:99:ea:1b:e9	-75	2462
GUEST	20:b3:99:ea:1b:e8	-77	2462
KU	d8:84:66:11:41:f9	-74	2437
KU	d8:84:66:11:43:29	-68	2412
GUEST	d8:84:66:11:41:f8	-73	2437
GUEST	d8:84:66:11:43:28	-66	2412
KU	d8:84:66:11:31:e9	-81	2437
000000
KU	d8:84:66:39:71:49	-63	2462
GUEST	d8:84:66:39:71:48	-61	2462
KU	d8:84:66:0a:e9:48	-73	2412
KU	20:b3:99:ea:1b:e9	-75	2462
GUEST	20:b3:99:ea:1b:e8	-77	2462
KU	d8:84:66:11:41:f9	-77	2437
KU	d8:84:66:11:43:29	-68	2412
GUEST	d8:84:66:11:41:f8	-73	2437
GUEST	d8:84:66:11:43:28	-72	2412
KU	d8:84:66:11:31:e9	-81	2437
000000
KU	d8:84:66:39:71:49	-70	2462
GUEST	d8:84:66:39:71:48	-71	2462
KU	d8:84:66:0a:e9:48	-73	2412
GUEST	20:b3:99:ea:1b:e8	-77	2462
KU	d8:84:66:11:41:f9	-77	2437
KU	d8:84:66:11:43:29	-68	2412
GUEST	d8:84:66:11:41:f8	-73	2437
GUEST	d8:84:66:11:43:28	-72	2412
KU	d8:84:66:11:31:e9	-81	2437
000000
KU	d8:84:66:39:71:49	-70	2462
GUEST	d8:84:66:39:71:48	-71	2462
KU	d8:84:66:11:41:f9	-77	2437
GUEST	d8:84:66:11:43:28	-72	2412
000000
KU	d8:84:66:39:71:49	-70	2462
GUEST	d8:84:66:39:71:48	-71	2462
000000
KU	d8:84:66:39:71:49	-53	2462
KU	d8:84:66:39:6b:e9	-68	2437
GUEST	d8:84:66:39:6b:e8	-72	2437
KU	d8:84:66:0a:e9:48	-59	2412
KU	d8:84:66:39:6e:89	-72	2412
KU	d8:84:66:11:41:f9	-72	2437
KU	20:b3:99:ea:1b:e9	-73	2462
GUEST	d8:84:66:39:71:48	-54	2462
GUEST	d8:84:66:0a:e9:49	-59	2412
GUEST	d8:84:66:39:6e:88	-72	2412
