KU	d8:84:66:3d:77:f8	-40	2437
GUEST	d8:84:66:3d:77:f9	-57	2437
YapiKredi	00:23:5e:95:b0:a0	-68	2412
GUEST	d8:84:66:47:f9:a8	-53	2462
000000
KU	d8:84:66:3d:77:f8	-41	2437
GUEST	d8:84:66:3d:77:f9	-41	2437
YapiKredi	00:23:5e:95:b0:a0	-48	2412
GUEST	d8:84:66:47:f9:a8	-72	2462
000000
KU	d8:84:66:3d:77:f8	-41	2437
GUEST	d8:84:66:3d:77:f9	-40	2437
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:47:f9:a8	-72	2462
000000
KU	d8:84:66:3d:77:f8	-42	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-58	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-84	2412
000000
KU	d8:84:66:3d:77:f8	-46	2437
GUEST	d8:84:66:3d:77:f9	-45	2437
YapiKredi	00:23:5e:95:b0:a0	-61	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
KU	d8:84:66:47:f9:a9	-69	2462
000000
KU	d8:84:66:3d:77:f8	-42	2437
GUEST	d8:84:66:3d:77:f9	-44	2437
YapiKredi	00:23:5e:95:b0:a0	-61	2412
GUEST	d8:84:66:47:f9:a8	-63	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
KU	d8:84:66:47:f9:a9	-69	2462
Panasonic Display1	62:4b:52:64:54:3e	-83	2462
000000
KU	d8:84:66:3d:77:f8	-43	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-54	2412
GUEST	d8:84:66:47:f9:a8	-63	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
KU	d8:84:66:47:f9:a9	-64	2462
Panasonic Display1	62:4b:52:64:54:3e	-83	2462
000000
KU	d8:84:66:3d:77:f8	-43	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-60	2412
GUEST	d8:84:66:47:f9:a8	-70	2462
KU	d8:84:66:47:f9:a9	-64	2462
Panasonic Display1	62:4b:52:64:54:3e	-83	2462
000000
KU	d8:84:66:3d:77:f8	-45	2437
GUEST	d8:84:66:3d:77:f9	-47	2437
YapiKredi	00:23:5e:95:b0:a0	-60	2412
GUEST	d8:84:66:47:f9:a8	-70	2462
KU	d8:84:66:47:f9:a9	-66	2462
000000
KU	d8:84:66:3d:77:f8	-41	2437
GUEST	d8:84:66:3d:77:f9	-40	2437
YapiKredi	00:23:5e:95:b0:a0	-54	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
KU	d8:84:66:47:f9:a9	-66	2462
000000
KU	d8:84:66:3d:77:f8	-44	2437
GUEST	d8:84:66:3d:77:f9	-41	2437
YapiKredi	00:23:5e:95:b0:a0	-53	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
KU	d8:84:66:47:f9:a9	-72	2462
000000
KU	d8:84:66:3d:77:f8	-39	2437
GUEST	d8:84:66:3d:77:f9	-38	2437
YapiKredi	00:23:5e:95:b0:a0	-56	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
KU	d8:84:66:47:f9:a9	-72	2462
000000
KU	d8:84:66:3d:77:f8	-38	2437
GUEST	d8:84:66:3d:77:f9	-38	2437
YapiKredi	00:23:5e:95:b0:a0	-59	2412
KU	d8:84:66:47:f9:a9	-72	2462
000000
KU	d8:84:66:3d:77:f8	-42	2437
GUEST	d8:84:66:3d:77:f9	-34	2437
YapiKredi	00:23:5e:95:b0:a0	-53	2412
KU	d8:84:66:47:f9:a9	-66	2462
000000
KU	d8:84:66:3d:77:f8	-45	2437
GUEST	d8:84:66:3d:77:f9	-43	2437
YapiKredi	00:23:5e:95:b0:a0	-53	2412
KU	d8:84:66:47:f9:a9	-66	2462
000000
KU	d8:84:66:3d:77:f8	-43	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-55	2412
KU	d8:84:66:47:f9:a9	-66	2462
GUEST	d8:84:66:47:f9:a8	-65	2462
000000
KU	d8:84:66:3d:77:f8	-45	2437
GUEST	d8:84:66:3d:77:f9	-43	2437
YapiKredi	00:23:5e:95:b0:a0	-54	2412
KU	d8:84:66:47:f9:a9	-63	2462
GUEST	d8:84:66:47:f9:a8	-65	2462
000000
KU	d8:84:66:3d:77:f8	-44	2437
GUEST	d8:84:66:3d:77:f9	-44	2437
YapiKredi	00:23:5e:95:b0:a0	-65	2412
KU	d8:84:66:47:f9:a9	-63	2462
GUEST	d8:84:66:47:f9:a8	-64	2462
000000
KU	d8:84:66:3d:77:f8	-48	2437
GUEST	d8:84:66:3d:77:f9	-45	2437
YapiKredi	00:23:5e:95:b0:a0	-58	2412
KU	d8:84:66:47:f9:a9	-64	2462
GUEST	d8:84:66:47:f9:a8	-64	2462
000000
KU	d8:84:66:3d:77:f8	-47	2437
GUEST	d8:84:66:3d:77:f9	-48	2437
YapiKredi	00:23:5e:95:b0:a0	-56	2412
KU	d8:84:66:47:f9:a9	-64	2462
GUEST	d8:84:66:47:f9:a8	-68	2462
000000
KU	d8:84:66:3d:77:f8	-42	2437
GUEST	d8:84:66:3d:77:f9	-45	2437
YapiKredi	00:23:5e:95:b0:a0	-59	2412
KU	d8:84:66:47:f9:a9	-63	2462
GUEST	d8:84:66:47:f9:a8	-68	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
000000
KU	d8:84:66:3d:77:f8	-45	2437
GUEST	d8:84:66:3d:77:f9	-41	2437
YapiKredi	00:23:5e:95:b0:a0	-64	2412
KU	d8:84:66:47:f9:a9	-63	2462
GUEST	d8:84:66:47:f9:a8	-63	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
000000
KU	d8:84:66:3d:77:f8	-52	2437
GUEST	d8:84:66:3d:77:f9	-50	2437
YapiKredi	00:23:5e:95:b0:a0	-67	2412
KU	d8:84:66:47:f9:a9	-62	2462
GUEST	d8:84:66:47:f9:a8	-63	2462
TurkTelekom_TDA0D	18:a6:f7:95:da:0d	-86	2412
000000
KU	d8:84:66:3d:77:f8	-42	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-66	2412
KU	d8:84:66:47:f9:a9	-62	2462
GUEST	d8:84:66:47:f9:a8	-63	2462
000000
KU	d8:84:66:3d:77:f8	-40	2437
GUEST	d8:84:66:3d:77:f9	-40	2437
YapiKredi	00:23:5e:95:b0:a0	-53	2412
KU	d8:84:66:47:f9:a9	-62	2462
000000
KU	d8:84:66:3d:77:f8	-41	2437
GUEST	d8:84:66:3d:77:f9	-42	2437
YapiKredi	00:23:5e:95:b0:a0	-61	2412
000000
KU	d8:84:66:3d:77:f8	-50	2437
GUEST	d8:84:66:3d:77:f9	-43	2437
YapiKredi	00:23:5e:95:b0:a0	-56	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
000000
KU	d8:84:66:3d:77:f8	-53	2437
GUEST	d8:84:66:3d:77:f9	-55	2437
YapiKredi	00:23:5e:95:b0:a0	-60	2412
GUEST	d8:84:66:47:f9:a8	-67	2462
000000
KU	d8:84:66:3d:77:f8	-52	2437
GUEST	d8:84:66:3d:77:f9	-52	2437
YapiKredi	00:23:5e:95:b0:a0	-64	2412
000000
KU	d8:84:66:3d:77:f8	-49	2437
GUEST	d8:84:66:3d:77:f9	-51	2437
YapiKredi	00:23:5e:95:b0:a0	-65	2412
000000
KU	d8:84:66:3d:77:f8	-51	2437
GUEST	d8:84:66:3d:77:f9	-50	2437
YapiKredi	00:23:5e:95:b0:a0	-69	2412
GUEST	d8:84:66:47:f9:a8	-60	2462
000000
KU	d8:84:66:3d:77:f8	-54	2437
GUEST	d8:84:66:3d:77:f9	-54	2437
YapiKredi	00:23:5e:95:b0:a0	-66	2412
