KU	d8:84:66:11:49:29	-65	2437
KU	d8:84:66:11:57:49	-62	2462
KU	d8:84:66:0b:f9:99	-59	2412
KU	d8:84:66:11:31:b9	-69	2462
KU	d8:84:66:10:3c:f9	-73	2412
HP-Print-15-Deskjet4640series	64:51:06:70:dd:15	-74	2437
KU	d8:84:66:13:69:e9	-77	2412
KU	d8:84:66:11:4a:b9	-81	2412
GUEST	d8:84:66:11:49:28	-52	2437
GUEST	d8:84:66:11:57:48	-61	2462
GUEST	d8:84:66:0b:f9:98	-65	2412
GUEST	d8:84:66:11:31:b8	-70	2462
000000
KU	d8:84:66:11:49:29	-52	2437
KU	d8:84:66:11:57:49	-62	2462
KU	d8:84:66:0b:f9:99	-32	2412
KU	d8:84:66:11:31:b9	-69	2462
KU	d8:84:66:10:3c:f9	-73	2412
HP-Print-15-Deskjet4640series	64:51:06:70:dd:15	-74	2437
KU	d8:84:66:13:69:e9	-77	2412
KU	d8:84:66:11:4a:b9	-81	2412
GUEST	d8:84:66:11:49:28	-52	2437
GUEST	d8:84:66:11:57:48	-61	2462
GUEST	d8:84:66:0b:f9:98	-65	2412
GUEST	d8:84:66:11:31:b8	-70	2462
KU	d8:84:66:11:39:49	-67	2462
KU	d8:84:66:10:3d:d9	-61	2462
KU	d8:84:66:11:56:d9	-67	2437
KU	d8:84:66:0a:e5:38	-79	2412
GUEST	d8:84:66:10:3d:d8	-62	2462
GUEST	d8:84:66:0a:c9:59	-64	2462
GUEST	d8:84:66:11:39:48	-67	2462
GUEST	d8:84:66:11:56:d8	-67	2437
GUEST	d8:84:66:0a:e5:39	-78	2412
wireless	06:d0:0b:d0:76:28	-79	2412
000000
KU	d8:84:66:11:39:49	-61	2462
KU	d8:84:66:10:3d:d9	-58	2462
KU	d8:84:66:11:56:d9	-61	2437
KU	d8:84:66:0a:e5:38	-74	2412
GUEST	d8:84:66:10:3d:d8	-56	2462
GUEST	d8:84:66:0a:c9:59	-69	2462
GUEST	d8:84:66:11:39:48	-61	2462
GUEST	d8:84:66:11:56:d8	-60	2437
GUEST	d8:84:66:0a:e5:39	-75	2412
wireless	06:d0:0b:d0:76:28	-69	2412
KU	d8:84:66:0a:c9:58	-69	2462
KU	d8:84:66:10:48:09	-82	2437
GUEST	d8:84:66:11:38:58	-81	2462
000000
KU	d8:84:66:11:39:49	-66	2462
KU	d8:84:66:10:3d:d9	-57	2462
KU	d8:84:66:11:56:d9	-62	2437
KU	d8:84:66:0a:e5:38	-77	2412
GUEST	d8:84:66:10:3d:d8	-58	2462
GUEST	d8:84:66:0a:c9:59	-71	2462
GUEST	d8:84:66:11:39:48	-66	2462
GUEST	d8:84:66:11:56:d8	-63	2437
GUEST	d8:84:66:0a:e5:39	-77	2412
wireless	06:d0:0b:d0:76:28	-76	2412
KU	d8:84:66:0a:c9:58	-69	2462
KU	d8:84:66:10:48:09	-82	2437
GUEST	d8:84:66:11:38:58	-82	2462
KU	d8:84:66:11:38:59	-81	2462
000000
