KU	d8:84:66:47:f9:a9	-64	2412
KU	d8:84:66:3d:77:f8	-53	2437
GUEST	d8:84:66:47:f9:a8	-61	2412
YapiKredi	00:23:5e:95:b0:a0	-64	2412
GUEST	d8:84:66:3d:77:f9	-52	2437
000000
KU	d8:84:66:47:f9:a9	-63	2412
KU	d8:84:66:3d:77:f8	-60	2437
GUEST	d8:84:66:47:f9:a8	-63	2412
YapiKredi	00:23:5e:95:b0:a0	-66	2412
GUEST	d8:84:66:3d:77:f9	-52	2437
000000
KU	d8:84:66:47:f9:a9	-62	2412
KU	d8:84:66:3d:77:f8	-60	2437
GUEST	d8:84:66:47:f9:a8	-62	2412
YapiKredi	00:23:5e:95:b0:a0	-69	2412
GUEST	d8:84:66:3d:77:f9	-59	2437
000000
KU	d8:84:66:47:f9:a9	-62	2412
KU	d8:84:66:3d:77:f8	-60	2437
GUEST	d8:84:66:47:f9:a8	-63	2412
YapiKredi	00:23:5e:95:b0:a0	-75	2412
GUEST	d8:84:66:3d:77:f9	-59	2437
000000
KU	d8:84:66:47:f9:a9	-62	2412
KU	d8:84:66:3d:77:f8	-57	2437
GUEST	d8:84:66:47:f9:a8	-63	2412
YapiKredi	00:23:5e:95:b0:a0	-74	2412
GUEST	d8:84:66:3d:77:f9	-59	2437
000000
KU	d8:84:66:47:f9:a9	-63	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-63	2412
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:3d:77:f9	-59	2437
000000
KU	d8:84:66:47:f9:a9	-61	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-61	2412
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:3d:77:f9	-55	2437
000000
KU	d8:84:66:47:f9:a9	-61	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-62	2412
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:3d:77:f9	-55	2437
000000
KU	d8:84:66:47:f9:a9	-62	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-62	2412
YapiKredi	00:23:5e:95:b0:a0	-61	2412
GUEST	d8:84:66:3d:77:f9	-55	2437
000000
KU	d8:84:66:47:f9:a9	-60	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-60	2412
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:3d:77:f9	-55	2437
000000
KU	d8:84:66:47:f9:a9	-61	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-60	2412
YapiKredi	00:23:5e:95:b0:a0	-64	2412
GUEST	d8:84:66:3d:77:f9	-54	2437
000000
KU	d8:84:66:47:f9:a9	-60	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-61	2412
YapiKredi	00:23:5e:95:b0:a0	-64	2412
GUEST	d8:84:66:3d:77:f9	-57	2437
000000
KU	d8:84:66:47:f9:a9	-61	2412
KU	d8:84:66:3d:77:f8	-55	2437
GUEST	d8:84:66:47:f9:a8	-61	2412
YapiKredi	00:23:5e:95:b0:a0	-65	2412
GUEST	d8:84:66:3d:77:f9	-57	2437
