KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
GUEST	d8:84:66:13:6b:68	-77
GUEST	d8:84:66:10:a3:08	-90
KU	d8:84:66:10:a3:09	-89
eduroam	d8:84:66:10:3e:31	-74
KU	d8:84:66:10:3e:30	-74
GUEST	d8:84:66:5c:76:78	-50
GUEST	d8:84:66:13:6d:68	-58
GUEST	d8:84:66:11:42:d8	-78
GUEST	d8:84:66:39:6c:18	-75
KU	d8:84:66:71:27:19	-82
GUEST	d8:84:66:71:27:18	-82
GUEST	d8:84:66:11:48:78	-47
eduroam	d8:84:66:13:6d:61	-58
KU	d8:84:66:13:6d:60	-57
eduroam	d8:84:66:5c:76:71	-60
KU	d8:84:66:5c:76:70	-60
eduroam	d8:84:66:11:48:71	-52
KU	d8:84:66:11:48:70	-53
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
GUEST	d8:84:66:13:6b:68	-77
GUEST	d8:84:66:10:a3:08	-90
KU	d8:84:66:10:a3:09	-89
GUEST	d8:84:66:71:27:18	-82
KU	d8:84:66:71:27:19	-82
eduroam	d8:84:66:10:3e:31	-74
KU	d8:84:66:10:3e:30	-74
KU	d8:84:66:13:6d:69	-57
GUEST	d8:84:66:5c:76:78	-50
GUEST	d8:84:66:13:6d:68	-56
KU	d8:84:66:39:6c:19	-77
GUEST	d8:84:66:39:6c:18	-78
KU	d8:84:66:11:42:d9	-78
GUEST	d8:84:66:11:42:d8	-78
GUEST	d8:84:66:11:48:78	-49
eduroam	d8:84:66:13:6d:61	-62
KU	d8:84:66:13:6d:60	-62
eduroam	d8:84:66:13:6f:91	-88
eduroam	d8:84:66:5c:76:71	-56
KU	d8:84:66:5c:76:70	-55
eduroam	d8:84:66:11:48:71	-48
KU	d8:84:66:11:48:70	-47
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
GUEST	d8:84:66:13:6b:68	-77
GUEST	d8:84:66:10:a3:08	-90
KU	d8:84:66:10:a3:09	-89
GUEST	d8:84:66:71:27:18	-82
KU	d8:84:66:71:27:19	-82
eduroam	d8:84:66:13:6f:91	-88
eduroam	d8:84:66:10:3e:31	-66
KU	d8:84:66:10:3e:30	-66
GUEST	d8:84:66:13:6d:68	-58
KU	d8:84:66:13:6d:69	-58
KU	d8:84:66:47:f8:89	-85
GUEST	d8:84:66:5c:76:78	-51
KU	d8:84:66:39:6c:19	-78
GUEST	d8:84:66:39:6c:18	-78
KU	d8:84:66:11:42:d9	-73
KU	d8:84:66:10:48:09	-82
